"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.592387410E-1,-2.703078650E-2,3.268129006E-2,2.331978083E-1
6.613445970E-1,-7.635815535E-3,1.924225502E-2,2.244929820E-1
6.634452140E-1,1.649336144E-2,5.803219974E-3,2.109012306E-1
6.655621970E-1,3.695734590E-2,-2.107485011E-2,1.985312104E-1
6.676677370E-1,5.009094998E-2,-4.780020565E-2,1.887573600E-1
6.697827580E-1,5.253441259E-2,-4.046982154E-2,1.850921661E-1
6.718878810E-1,3.436116874E-2,-2.580905706E-2,1.803579628E-1
6.739970220E-1,1.496619824E-2,-1.954768784E-2,1.695151031E-1
6.761021550E-1,3.054326226E-4,-1.954768784E-2,1.597412676E-1
6.782033710E-1,-5.803219974E-3,-7.330383174E-3,1.550070494E-1
6.803209970E-1,-9.162978968E-4,-6.108652335E-3,1.476766765E-1
6.824290810E-1,1.374446787E-3,-2.306016348E-2,1.414152980E-1
6.845398280E-1,-2.443460980E-3,-4.841107130E-2,1.389718503E-1
6.866457650E-1,-8.399397135E-3,-3.634648025E-2,1.427897513E-1
6.887542550E-1,-1.191187184E-2,-2.183843218E-2,1.476766765E-1
6.908622670E-1,-1.802052557E-2,-2.535090782E-2,1.513418704E-1
6.929705440E-1,-2.657263726E-2,-2.168571576E-2,1.550070494E-1
6.950796030E-1,-2.764165215E-2,-1.679879427E-2,1.574505121E-1
6.971869540E-1,-2.153299935E-2,4.886921961E-3,1.586722434E-1
6.992930030E-1,-1.527163107E-2,2.183843218E-2,1.574505121E-1
7.013929990E-1,-1.786780916E-2,2.443460980E-3,1.525636017E-1
7.035120880E-1,-2.657263726E-2,-2.886338346E-2,1.452332139E-1
7.056199470E-1,-3.145955876E-2,-2.641992271E-2,1.453859210E-1
7.077307360E-1,-4.230241850E-2,-1.069014147E-2,1.502728462E-1
7.098341200E-1,-5.054909736E-2,1.725694351E-2,1.577559561E-1
7.119330990E-1,-5.650503561E-2,3.909537569E-2,1.601994038E-1
7.140428910E-1,-5.054909736E-2,2.092213556E-2,1.553124934E-1
7.161611150E-1,-3.145955876E-2,-1.679879427E-2,1.453859210E-1
7.182696670E-1,-6.108652335E-3,-4.718934000E-2,1.427897513E-1
7.203722780E-1,9.621127509E-3,-6.551529467E-2,1.340849251E-1
7.224858550E-1,1.435533352E-2,-8.857546002E-2,1.243110746E-1
7.245943330E-1,2.138028294E-2,-1.091921628E-1,1.156062484E-1
7.267046040E-1,1.175915636E-2,-1.030835137E-1,1.145372316E-1
7.288116290E-1,9.162978968E-4,-8.231408894E-2,1.182024255E-1
7.309187460E-1,3.512475174E-3,-5.940664560E-2,1.291979998E-1
7.330265250E-1,-4.886921961E-3,-6.658431143E-2,1.353066564E-1
7.351340570E-1,-1.588249579E-2,-6.536258012E-2,1.488984078E-1
7.372439920E-1,-2.061670274E-2,-5.558873713E-2,1.586722434E-1
7.393491660E-1,-2.519819140E-2,-2.779436857E-2,1.733330190E-1
7.414498640E-1,-1.771509275E-2,4.886921961E-3,1.855503172E-1
7.435660550E-1,-3.054326167E-3,8.399397135E-3,1.927279830E-1
7.456674740E-1,1.130100712E-2,-2.443460934E-2,1.890627891E-1
7.477874900E-1,2.687807009E-2,-5.238169432E-2,1.791362315E-1
7.498931320E-1,3.176499158E-2,-6.215553731E-2,1.718058437E-1
7.520036260E-1,1.954768784E-2,-5.955936015E-2,1.656972021E-1
7.541070500E-1,2.076941915E-2,-4.749477282E-2,1.571450830E-1
7.562078290E-1,1.954768784E-2,-4.138612002E-2,1.475239545E-1
7.583260340E-1,1.221730467E-2,-2.809980139E-2,1.377501190E-1
7.604344940E-1,5.039638374E-3,-1.221730467E-2,1.232420653E-1
7.625459850E-1,-1.221730490E-3,-1.572977938E-2,1.110247597E-1
7.646489200E-1,-8.399397135E-3,-7.177666761E-3,1.012509167E-1
7.667517030E-1,-1.817324013E-2,8.552113548E-3,9.651670605E-2
7.688671220E-1,-2.901609987E-2,2.443460934E-2,9.300423414E-2
7.709755510E-1,-2.535090782E-2,2.321287990E-2,9.529497474E-2
7.730856070E-1,-2.306016348E-2,-1.069014193E-3,8.918632567E-2
7.751920920E-1,-1.954768784E-2,-3.252857551E-2,9.162978828E-2
7.773005830E-1,-1.481348183E-2,-6.047565863E-2,9.636399150E-2
7.794079650E-1,-1.481348183E-2,-7.131851465E-2,1.085812971E-1
7.815098730E-1,-1.343903504E-2,-4.718934000E-2,1.244637966E-1
7.836249750E-1,-1.939497143E-2,-3.863722831E-2,1.366810948E-1
7.857328850E-1,-1.572977938E-2,-5.681046844E-2,1.440114826E-1
7.878407340E-1,-3.665191587E-3,-7.757988572E-2,1.524108797E-1
